S01, OF7008, 2017-05-16 16:00:19.71
Oz5008, 125.8, 5
Oz4004, 126.5, 2
Oz7007, 159.3, 1
Oz4005, 161.7, 0
Oz1002, 170.8, 0
Oz2002, 174.4, 0
Oz2008, 189.6, 0

S02, OF3002, 2017-05-16 16:00:24.156
Oz1001, 104.7, 5
Oz3003, 110.6, 2
Oz2008, 139.8, 1
Oz3007, 170.0, 0
Oz2007, 195.4, 0
Oz8001, 198.9, 0

C01, OF6006, 2017-05-16 16:17:08.233
Oz5003, 510.8, 5
Oz8004, 521.9, 2
Oz2003, 536.2, 1
Oz8002, 628.5, 0
Oz8009, 636.9, 0
Oz5004, 654.5, 0
Oz6005, 718.3, 0

S01, OF7003, 2017-05-16 17:22:11.013
Oz8001, 109.3, 5
Oz8003, 119.8, 2
Oz3003, 127.8, 1
Oz4003, 156.3, 0
Oz2006, 187.4, 0
Oz2002, 196.1, 0
Oz1005, 196.6, 0
